
[length]	[occurances]	[englishSpeechRatio]	[isEnglish]	[fullURL]
5533	148	0.02674859931321164	false	https://steemit.com/investing/@thescholarlyowl/daily-crypto-currency-review-by-thescholarlyowl-28-12-2017
15372	475	0.030900338277387456	true	https://steemit.com/cryptocurrency/@teejayrichard/bitdegree-blockchain-for-education-revolutionization
5466	275	0.05031101353823637	true	https://steemit.com/donna/@blaket/donna-eden-energy-medicine-self-help
39027	1471	0.03769185435723986	true	https://steemit.com/nigeria/@abbeycity/all-you-need-to-know-about-keeping-dog-as-pet
5604	307	0.05478229835831549	true	https://steemit.com/cryptocurrency/@bayarealen/my-crypto-perspective-from-a-newbie-verge-xvg-investor
5653	292	0.05165398903237219	true	https://steemit.com/bitcoin/@venomz/bitcoin-blockchain-and-cryptocurrencies-explained-in-a-simple-way
6224	368	0.05912596401028278	true	https://steemit.com/health/@vincentmawhinney/what-is-hypnosis-and-nlp-and-why-care-about-it-anyway
7564	361	0.04772607086197779	true	https://steemit.com/bitcoin/@doclover/personal-chaincoin-journey-part-2-of-2
5321	251	0.047171584288667544	true	https://steemit.com/bitcoin/@venomz/cryptocurrencies-fraud-or-opportunity
5273	15	0.002844680447563057	false	https://steemit.com/bricolage/@performance/crypto-monnaie-iota
6048	40	0.006613756613756613	false	https://steemit.com/fotografia/@josefar/fotografia-de-bodegones-te-dejo-algunos-tips-para-comenzar
10738	9	0.0008381449059415161	false	https://steemit.com/puncakbukit/@mufidstm/manajemen-konflik
5437	53	0.00974802280669487	false	https://steemit.com/novela/@jorgejxz/billy-stepts-la-ironia-de-la-venganza
12264	651	0.053082191780821915	true	https://steemit.com/gender/@native-one/the-male-charge-cycle-did-you-know-you-even-had-one-equivalent-of-menstrual-cycle-for-men
31587	420	0.013296609364612024	false	https://steemit.com/music/@sferamusic/how-to-diy-hybrid-sequencer-midi-usb-hub-aka-piseq-using-raspberry-pi-and-external-midi-controllers-part-1
5518	24	0.004349401957230881	false	https://steemit.com/money/@rstracer/last-hour-price-changes-steem159-btc-029-eth-035-xrp117-bch-084-ltc-083-ada-028-miota-021-dash-025-1514424642
7131	160	0.022437245828074603	false	https://steemit.com/technology/@flexxy/the-effect-of-technology-to-our-modern-day-life
5509	193	0.035033581412234525	true	https://steemit.com/life/@janiefiteny15/the-only-time-that-change-doesn-t-make-you-better
6574	256	0.03894128384545178	true	https://steemit.com/biometrids/@loc/biometrids-great-project
5397	237	0.04391328515842134	true	https://steemit.com/bitcoin/@ekeomachimdi/okay-here-s-what-you-actually-need-to-know-about-bitcoin-a-fast-guide-to-cryptocurrency-s-golden-child
8436	40	0.00474158368895211	false	https://steemit.com/spanish/@sebastianvargas/la-razon-tras-el-cambio-del-doblaje-latino-en-los-simpson
5648	217	0.03842067988668555	true	https://steemit.com/climate/@leodalat/kwhcoin-blockchain-proof-of-concept-are-partnering-with-path-an-organization-committed-to-ending-homelessness-for-individuals
7529	220	0.02922034798778058	false	https://steemit.com/happy/@avinashsingh/happy-new-year-nvidia
